census_tract,from,to,ratio_from,ratio_to
17031062900,17249.0,5857.0,0.0009203403269024938,0.0003442295675625608
17031063000,26182.0,14044.0,0.001396970864337706,0.0008253986762589387
17031063100,12702.0,10604.0,0.0006777298876639501,0.0006232218429969941
17031063200,37261.0,31246.0,0.0019881037115608916,0.0018364003872391626
17031063301,14456.0,3343.0,0.0007713165844804018,0.00019647591674263972
17031063302,40303.0,30629.0,0.002150413136712343,0.0018001378563895637
17031063303,3145.0,86.0,0.00016780510917202985,5.054420831548613e-06
17031063400,18371.0,11635.0,0.0009802059334179207,0.0006838161206403269
17031070101,49001.0,25112.0,0.00261450497759575,0.0014758908828121952
17031070102,26283.0,8598.0,0.0014023598360472054,0.0005053245384843602
17031070103,4696.0,13551.0,0.0002505605064139435,0.00079642391498041
17031070200,36651.0,31123.0,0.001955556456681738,0.0018291713900033429
17031070300,32710.0,21994.0,0.0017452798477001895,0.0012926387415009325
17031070400,14227.0,4136.0,0.0007590980248618342,0.00024308237859633797
17031070500,8364.0,1062.0,0.0004462708849331821,6.241622003610032e-05
17031070600,9331.0,1316.0,0.0004978662873399715,7.73443931897439e-05
17031070700,3337.0,549.0,0.0001780494910356323,3.226601205256034e-05
17031071000,15069.0,3217.0,0.0008040239078261742,0.0001890706025010685
17031071100,24714.0,12942.0,0.0013186440280055789,0.0007606315628128158
17031071200,25692.0,12074.0,0.001370826348123304,0.0007096171758153251
17031071300,27267.0,13972.0,0.0014548622930981678,0.000821167068120898
17031071400,93606.0,59984.0,0.004994456295439436,0.003525399757669907
17031071500,180414.0,135937.0,0.009626197445520698,0.007989334936956092
17031071600,6116.0,1081.0,0.00032632624728016997,6.353289440586106e-05
17031071700,5854.0,347.0,0.0003123469345287958,2.039400033194615e-05
17031071800,19474.0,4304.0,0.001039057772978095,0.0002529561309184329
17031080100,132170.0,127142.0,0.007052083077668421,0.00747243224842737
17031080201,50211.0,44488.0,0.0026790659257986617,0.002614663650627148
17031080202,96880.0,102558.0,0.005169144348676074,0.006027573158627474
17031080300,128238.0,103933.0,0.0068422866740867295,0.006108385119597001
17031080400,18499.0,5628.0,0.000987035521326989,0.00033077070279018134
17031081000,162552.0,164018.0,0.008673149795272431,0.009639720883127215
17031081100,131531.0,151361.0,0.007017988494278619,0.00889583943586081
