census_tract,avg
17031061500,17.3582663771
17031063000,15.6241873415
17031070600,14.5372020287
17031090300,28.85
17031140200,20.9116494845
17031140702,20.1871134021
17031231200,14.45
17031240300,12.7051749983
17031243500,8.73812427403
17031320400,6.24988688891
17031381200,17.45
17031390300,17.5583333333
17031400800,16.05
17031420500,21.85
17031490902,29.85
17031600700,13.4724137931
17031640100,29.0318181818
17031711400,24.25
17031770700,37.5481149835
17031800600,21.95
17031803603,64.05
17031803800,68.25
17031804102,59.05
17031805802,41.375
17031811200,28.89
17031812900,22.3337051793
17031825000,94.05
17031832600,12.064340086
17031835800,15.5666666667
17031837300,13.65
17031840000,14.6788461538
17031841700,17.25
17031843200,10.8960305344
17031030102,21.1146590909
17031030604,22.3024231128
17031031300,18.8238711946
17031051000,16.3437236534
17031060100,20.5945872801
17031061800,16.0091022915
17031081500,6.92460049145
17031110502,23.1113636364
17031140500,17.3424242424
17031151100,23.6625
17031160200,21.2180661578
17031210100,17.5492857143
17031210602,16.970982906
17031240600,14.1661135371
17031242100,11.1042307692
17031252201,17.05
17031260300,15.1833333333
17031283200,9.39374694377
17031340400,11.4447619048
17031351000,12.4888395904
17031390600,16.8397087379
17031420800,24.4
17031431400,22.25
17031590500,18.1333333333
17031640400,28.65
17031700401,32.4875
17031800900,37.85
17031801901,43.85
17031805600,34.7666666667
17031807100,35.45
17031808800,35.6438554217
17031813000,20.7679850746
17031814700,20.9642857143
17031815701,27.5833333333
17031817900,28.2852272727
17031822602,23.85
17031824119,67.25
17031831200,20.65
17031832900,9.35927512356
17031834400,21.89
17031839100,6.18340898946
17031840300,10.3873049645
17031843500,16.4736065574
17031010201,26.075862069
17031020302,27.25
17031032100,18.277027971
17031050300,18.6569836066
17031062600,15.8911934745
17031071700,10.2357635865
17031100200,27.1326666667
17031160501,21.1771052632
17031161000,19.3878813559
17031170100,26.45
17031200300,17.65
17031230800,17.1778571429
17031241400,12.10359905
17031250500,30.0
17031291600,15.5254464286
17031310900,12.521875
17031430700,20.55
17031440102,26.95
17031770602,40.744
17031804201,45.62
17031805111,37.68
17031805202,37.045
17031805901,19.75
17031809600,30.65
17031812802,23.9618421053
17031818700,36.75
17031820202,33.95
17031820901,29.5679411765
17031824115,54.85
17031830500,77.8
17031832000,18.7411997211
17031835200,25.69453125
17031841100,9.53245791115
17031010701,24.9522727273
17031020802,28.5757839721
17031030706,19.5158562992
17031050800,16.8118263473
17031061902,15.4716859373
17031070500,14.4071292171
17031081100,8.05650806668
17031090200,31.6424242424
17031120400,21.3125
17031140100,22.6914864865
17031140602,20.9866666667
17031190300,23.45
17031220500,19.1303024911
17031240200,16.8452394209
17031243400,10.1502084755
17031300600,15.77
17031390200,20.19375
17031420400,21.3453488372
17031460302,24.25
17031570400,32.55
17031600600,14.2734782609
17031672000,36.65
17031800500,44.39
17031804610,98.75
17031804701,20.625
17031805702,34.7166666667
17031806900,34.2111111111
17031817500,33.85
